feature,mean_shift_z,missing_rate_train,missing_rate_test,missing_rate_gap,train_mean,test_mean
DAYS_ID_PUBLISH,2.536740885746825,0.0,0.0,0.0,-1999.743368779335,-4800.230557858967
DAYS_EMPLOYED_ANOM,0.7658553697344593,0.0,0.0,0.0,0.0898127974158022,0.3087816854462384
FLAG_EMP_PHONE,0.7657872936171035,0.0,0.0,0.0,0.9101546833165317,0.6911695364453766
AGE_YEARS,0.6204153579420584,0.0,0.0,0.0,41.12116419275224,48.16913441576188
DAYS_BIRTH,0.6204153579420579,0.0,0.0,0.0,-15009.224930354569,-17581.734061753086
EXT_SOURCE_AGE_INTERACTION,0.5169294716057085,0.0006232859636000997,0.00039022486707965465,-0.00023306109652044502,20.91518271706576,25.92967696350317
FLAG_DOCUMENT_6,0.5165713242993951,0.0,0.0,0.0,0.04468147377321063,0.151407248426906
EXT_SOURCE_1,0.336288108300468,0.5362752430815259,0.58945092109328,0.05317567801175416,0.47834310962231424,0.5498037575725815
EXT_SOURCE_3,0.2606801397920914,0.21407975892382902,0.16940637042095508,-0.044673388502873945,0.4909353748906185,0.5421382327149818
EXT_SOURCE_MEAN,0.2569133449110674,0.0006232859636000997,0.00039022486707965465,-0.00023306109652044502,0.4946860597251413,0.533857250575841
EXT_SOURCE_EMPLOYMENT_INTERACTION,0.21967836612042518,0.09039272435584751,0.30902557598816316,0.21863285163231566,3.203185933828723,4.016951395188635
EMPLOYMENT_YEARS,0.20711583516768223,0.0898127974158022,0.3087816854462384,0.2189688880304362,6.133950407263736,7.421366730940756
DAYS_EMPLOYED,0.207115835167682,0.0898127974158022,0.3087816854462384,0.2189688880304362,-2238.891898651264,-2708.7988567933758
DAYS_REGISTRATION,0.20686056854573381,0.0,0.0,0.0,-4647.832753632221,-5343.941433751199
REG_CITY_NOT_WORK_CITY,0.19789243259573674,0.0,0.0,0.0,0.26594799085124604,0.17851161731948034
DAYS_LAST_PHONE_CHANGE,0.17300559508377605,5.419877944348693e-06,0.0,-5.419877944348693e-06,-914.2184602043305,-1051.988618441377
REG_CITY_NOT_LIVE_CITY,0.15337405111209002,0.0,0.0,0.0,0.0955795475485892,0.05048534217843032
FLAG_DOCUMENT_3,0.12320601401713767,0.0,0.0,0.0,0.7331306298982146,0.6786335625904427
LIVE_CITY_NOT_WORK_CITY,0.12264233876257988,0.0,0.0,0.0,0.19983089980813631,0.15078939238736322
FLAG_WORK_PHONE,0.11171751146147661,0.0,0.0,0.0,0.21934246040779162,0.1731135066582118
EXT_SOURCE_2,0.0965364970474629,0.002124592154184688,0.001756011901858446,-0.0003685802523262418,0.5074020797329227,0.5259984511371826
INCOME_PER_FAM_MEMBER,0.09278291374602549,5.419877944348693e-06,1.6259369461652276e-05,1.0839491517303582e-05,93894.60674049162,87862.31194016179
REG_REGION_NOT_WORK_REGION,0.08534885977503394,0.0,0.0,0.0,0.059293464711174707,0.03913630229419703
HOUR_APPR_PROCESS_START,0.08401983631244138,0.0,0.0,0.0,12.156943405634506,11.880282262653854
CNT_CHILDREN,0.08199778223912985,0.0,0.0,0.0,0.40494076073406826,0.46275791424808543
CREDIT_INCOME_RATIO,0.0815084142532366,0.0,0.0,0.0,3.887793296289991,4.101177557197924
FLAG_PHONE,0.07240163215032172,0.0,0.0,0.0,0.2687663273823073,0.3008633725184137
CNT_FAM_MEMBERS,0.07074384226880112,5.419877944348693e-06,1.6259369461652276e-05,1.0839491517303582e-05,2.1427061597246686,2.20604207993236
EXT_SOURCE_BURDEN_RATIO,0.06821259119984086,0.0006666449871548893,0.00039022486707965465,-0.0002764201200752346,3.614006116192316,3.793648348460082
ANNUITY_INCOME_RATIO,0.06789826189396907,4.3359023554789544e-05,0.0,-4.3359023554789544e-05,0.1796789007593363,0.18600086898510604
FLAG_DOCUMENT_8,0.06661673755417714,0.0,0.0,0.0,0.08890767779909596,0.06994780742402809
REG_REGION_NOT_LIVE_REGION,0.06447990227243583,0.0,0.0,0.0,0.018828655978667362,0.01006454969676276
LIVE_REGION_NOT_WORK_REGION,0.05820419421888345,0.0,0.0,0.0,0.045846747531245596,0.03367315415508187
