feature,missing_rate,missing_target_rate,present_target_rate,target_gap
AMT_REQ_CREDIT_BUREAU_DAY,0.15168612402848689,0.11280237253010326,0.08673068445364461,0.026071688076458654
AMT_REQ_CREDIT_BUREAU_YEAR,0.15168612402848689,0.11280237253010326,0.08673068445364461,0.026071688076458654
AMT_REQ_CREDIT_BUREAU_QRT,0.15168612402848689,0.11280237253010326,0.08673068445364461,0.026071688076458654
AMT_REQ_CREDIT_BUREAU_WEEK,0.15168612402848689,0.11280237253010326,0.08673068445364461,0.026071688076458654
AMT_REQ_CREDIT_BUREAU_HOUR,0.15168612402848689,0.11280237253010326,0.08673068445364461,0.026071688076458654
AMT_REQ_CREDIT_BUREAU_MON,0.15168612402848689,0.11280237253010326,0.08673068445364461,0.026071688076458654
EXT_SOURCE_STD,0.12161664119324032,0.11337403627612638,0.08754404042772433,0.02582999584840205
EMERGENCYSTATE_MODE,0.4823474575352563,0.10311699402220324,0.0791016647471469,0.02401532927505634
TOTALAREA_MODE,0.4911005604153795,0.10283519660968315,0.0789605410298738,0.023874655579809362
HOUSING_QUALITY_MEAN,0.4902171203104506,0.10285467893154078,0.07898318059069935,0.02387149834084143
YEARS_BEGINEXPLUATATION_AVG,0.49615730653745677,0.10267193917678931,0.07888169359523246,0.023790245581556846
YEARS_BEGINEXPLUATATION_MODE,0.49615730653745677,0.10267193917678931,0.07888169359523246,0.023790245581556846
YEARS_BEGINEXPLUATATION_MEDI,0.49615730653745677,0.10267193917678931,0.07888169359523246,0.023790245581556846
HOUSING_QUALITY_STD,0.49250430880296575,0.10272917354462419,0.07899739416463754,0.023731779379986648
FLOORSMAX_MODE,0.5061895006124462,0.10237164730445955,0.07870619354413846,0.023665453760321087
FLOORSMAX_AVG,0.5061895006124462,0.10237164730445955,0.07870619354413846,0.023665453760321087
FLOORSMAX_MEDI,0.5061895006124462,0.10237164730445955,0.07870619354413846,0.023665453760321087
ELEVATORS_MODE,0.5419769546789807,0.10142202844056881,0.07798078288446064,0.023441245556108173
ELEVATORS_MEDI,0.5419769546789807,0.10142202844056881,0.07798078288446064,0.023441245556108173
ELEVATORS_AVG,0.5419769546789807,0.10142202844056881,0.07798078288446064,0.023441245556108173
ENTRANCES_AVG,0.5121730458630072,0.10211748272468492,0.07868276911795749,0.023434713606727428
ENTRANCES_MEDI,0.5121730458630072,0.10211748272468492,0.07868276911795749,0.023434713606727428
ENTRANCES_MODE,0.5121730458630072,0.10211748272468492,0.07868276911795749,0.023434713606727428
APARTMENTS_MODE,0.5154629117752269,0.1019704329905579,0.07868008948545861,0.023290343505099287
APARTMENTS_AVG,0.5154629117752269,0.1019704329905579,0.07868008948545861,0.023290343505099287
APARTMENTS_MEDI,0.5154629117752269,0.1019704329905579,0.07868008948545861,0.023290343505099287
HOUSETYPE_MODE,0.5099454760278799,0.1020427684720687,0.0788670397487226,0.023175728723346098
WALLSMATERIAL_MODE,0.5169858974775888,0.10181680941847422,0.07877108136312122,0.023045728055353
LIVINGAREA_AVG,0.5099563157837685,0.10195557444999469,0.07895726420102636,0.022998310248968326
LIVINGAREA_MEDI,0.5099563157837685,0.10195557444999469,0.07895726420102636,0.022998310248968326
LIVINGAREA_MODE,0.5099563157837685,0.10195557444999469,0.07895726420102636,0.022998310248968326
NONLIVINGAREA_MODE,0.559981789210107,0.1005420054200542,0.07814155149902692,0.022400453921027283
NONLIVINGAREA_MEDI,0.559981789210107,0.1005420054200542,0.07814155149902692,0.022400453921027283
NONLIVINGAREA_AVG,0.559981789210107,0.1005420054200542,0.07814155149902692,0.022400453921027283
BASEMENTAREA_MODE,0.5927666308954722,0.09945231281258858,0.07792432489984961,0.021527987912738966
BASEMENTAREA_MEDI,0.5927666308954722,0.09945231281258858,0.07792432489984961,0.021527987912738966
BASEMENTAREA_AVG,0.5927666308954722,0.09945231281258858,0.07792432489984961,0.021527987912738966
LANDAREA_AVG,0.6010861435400475,0.09850862006780639,0.0788973125730279,0.01961130749477849
LANDAREA_MODE,0.6010861435400475,0.09850862006780639,0.0788973125730279,0.01961130749477849
LANDAREA_MEDI,0.6010861435400475,0.09850862006780639,0.0788973125730279,0.01961130749477849
YEARS_BUILD_MEDI,0.670932110608869,0.09711529917360713,0.07757555793461253,0.0195397412389946
YEARS_BUILD_AVG,0.670932110608869,0.09711529917360713,0.07757555793461253,0.0195397412389946
YEARS_BUILD_MODE,0.670932110608869,0.09711529917360713,0.07757555793461253,0.0195397412389946
FONDKAPREMONT_MODE,0.6894409937888198,0.09654418816722482,0.07767888307155323,0.018865305095671595
FLOORSMIN_AVG,0.6840048562106381,0.09663003256657925,0.07781760801330978,0.018812424553269466
FLOORSMIN_MODE,0.6840048562106381,0.09663003256657925,0.07781760801330978,0.018812424553269466
FLOORSMIN_MEDI,0.6840048562106381,0.09663003256657925,0.07781760801330978,0.018812424553269466
LIVINGAPARTMENTS_MODE,0.6891754197695468,0.09650274857066461,0.0777868838166315,0.018715864754033112
LIVINGAPARTMENTS_MEDI,0.6891754197695468,0.09650274857066461,0.0777868838166315,0.018715864754033112
LIVINGAPARTMENTS_AVG,0.6891754197695468,0.09650274857066461,0.0777868838166315,0.018715864754033112
COMMONAREA_AVG,0.7039771064355631,0.09603658536585366,0.07795964700281958,0.018076938363034076
COMMONAREA_MEDI,0.7039771064355631,0.09603658536585366,0.07795964700281958,0.018076938363034076
COMMONAREA_MODE,0.7039771064355631,0.09603658536585366,0.07795964700281958,0.018076938363034076
OWN_CAR_AGE,0.650911081482445,0.09698826781684805,0.0789330683600118,0.018055199456836257
NONLIVINGAPARTMENTS_AVG,0.6999934961464668,0.09601015849418906,0.07826134084873448,0.01774881764545458
NONLIVINGAPARTMENTS_MEDI,0.6999934961464668,0.09601015849418906,0.07826134084873448,0.01774881764545458
NONLIVINGAPARTMENTS_MODE,0.6999934961464668,0.09601015849418906,0.07826134084873448,0.01774881764545458
EXT_SOURCE_3,0.21407975892382902,0.10367351072179043,0.0871475170164199,0.01652599370537053
EXT_SOURCE_1,0.5362752430815259,0.09748751844440402,0.08281907433380084,0.014668444110603182
OCCUPATION_TYPE,0.2392984509988835,0.07829769885848886,0.09458227054448039,-0.016284571685991525
EXT_SOURCE_EMPLOYMENT_INTERACTION,0.09039272435584751,0.06643482431946277,0.09309531186691136,-0.026660487547448597
DAYS_EMPLOYED,0.0898127974158022,0.06619998793072235,0.09310149760323935,-0.026901509672517004
